trip_id,shape_dist_traveled
32829436,14.8856
32829437,14.8856
32829438,14.1327
32829439,14.8856
32829440,14.1327
32829441,14.8856
32829442,14.8856
32829443,14.1327
32829444,14.8856
32829445,14.1327
32829446,14.8856
32829447,14.8856
32829448,2.8596
32829449,2.8596
32829450,14.1327
32829451,14.1327
32829452,2.8596
32829453,2.8596
32829454,3.1165
32829455,14.7594
32829456,14.7594
32829457,14.7594
32829458,14.7594
32829459,14.7594
32829460,11.2503
32829461,14.7594
32829462,11.2503
32829463,14.7594
32829464,14.7594
32829465,14.7594
32829466,14.7594
32829467,14.7594
32829468,14.7594
32829469,14.7594
32829470,14.7594
32829471,3.1165
32829472,14.7594
32829473,14.7594
32829474,14.7594
32829475,14.7594
32829476,14.7594
32829477,14.7594
32829478,3.1165
32829479,11.2503
32829480,11.2503
32829481,3.1165
32829482,14.7594
32829483,0.971
32829484,14.7594
32829485,14.7594
32829486,14.7594
32829487,14.7594
32829488,14.7594
32829489,14.7594
32829490,14.7594
32829491,14.7594
32829492,14.7594
32829493,14.7594
32829494,14.7594
32829495,14.7594
32829496,14.7594
32829497,14.7594
32829498,14.7594
32829499,11.2503
32829500,14.7594
32829501,14.7594
32829502,14.7594
32829503,14.7594
32829504,14.7594
32829505,14.7594
32829506,14.7594
32829507,14.7594
32829508,14.7594
32829509,14.7594
32829510,14.7594
32829511,14.7594
32829512,14.7594
32829513,14.7594
32829514,14.7594
32829515,14.7594
32829516,14.7594
32829517,14.7594
32829518,14.7594
32829519,14.7594
32829520,14.7594
32829521,14.7594
32829522,14.7594
32829523,14.7594
32829524,14.7594
32829525,14.7594
32829526,14.7594
32829527,14.7594
32829528,14.7594
32829529,14.7594
32829530,14.7594
32829531,14.7594
32829532,14.7594
32829533,14.7594
32829534,14.7594
32829535,14.7594
32829536,14.7594
32829537,14.7594
32829538,14.7594
32829539,14.7594
32829540,14.7594
32829541,14.7594
32829542,14.7594
32829543,14.7594
32829544,14.7594
32829545,14.7594
32829546,14.7594
32829547,14.7594
32829548,14.7594
32829549,14.7594
32829550,14.7594
32829551,14.7594
32829552,14.7594
32829553,14.7594
32829554,14.7594
32829555,14.7594
32829556,14.7594
32829557,14.7594
32829558,14.7594
32829559,14.7594
32829560,14.7594
32829561,14.7594
32829562,14.7594
32829563,14.7594
32829564,14.7594
32829565,14.7594
32829566,14.7594
32829567,14.7594
32829568,14.7594
32829569,14.7594
32829570,14.7594
32829571,14.7594
32829572,14.7594
32829573,14.7594
32829574,14.7594
32829575,14.7594
32829576,14.7594
32829577,14.7594
32829578,14.7594
32829579,14.7594
32829580,14.7594
32829581,14.7594
32829582,14.7594
32829583,14.7594
32829584,14.7594
32829585,14.7594
32829586,3.1165
32829587,11.2503
32829588,3.1165
32829589,11.2503
32829590,11.2503
32829591,14.7594
32829592,11.2503
32829593,14.8856
32829594,14.8856
32829595,14.8856
32829596,14.8856
32829597,14.8856
32829598,14.8856
32829599,14.8856
32829600,14.8856
32829601,14.8856
32829602,14.8856
32829603,14.8856
32829604,14.8856
32829605,14.8856
32829606,14.8856
32829607,14.8856
32829608,14.8856
32829609,14.8856
32829610,14.8856
32829611,1.7284
32829612,14.8856
32829613,14.8856
32829614,14.8856
32829615,14.8856
32829616,12.0363
32829617,14.8856
32829618,14.8856
32829619,14.8856
32829620,14.8856
32829621,14.8856
32829622,14.8856
32829623,14.8856
32829624,14.8856
32829625,14.8856
32829626,14.8856
32829627,14.1327
32829628,14.8856
32829629,14.8856
32829630,14.8856
32829631,14.8856
32829632,14.8856
32829633,14.8856
32829634,14.8856
32829635,14.8856
32829636,14.8856
32829637,14.8856
32829638,14.8856
32829639,14.8856
32829640,14.8856
32829641,14.8856
32829642,14.8856
32829643,14.8856
32829644,14.8856
32829645,14.8856
32829646,14.8856
32829647,14.8856
32829648,14.8856
32829649,14.8856
32829650,14.8856
32829651,14.8856
32829652,14.8856
32829653,14.8856
32829654,14.8856
32829655,14.8856
32829656,14.8856
32829657,14.8856
32829658,14.8856
32829659,14.8856
32829660,14.8856
32829661,14.8856
32829662,14.8856
32829663,14.8856
32829664,14.8856
32829665,14.8856
32829666,14.8856
32829667,14.8856
32829668,14.8856
32829669,14.8856
32829670,14.8856
32829671,14.8856
32829672,14.8856
32829673,14.8856
32829674,14.8856
32829675,14.8856
32829676,14.8856
32829677,14.8856
32829678,14.8856
32829679,14.8856
32829680,14.8856
32829681,14.8856
32829682,14.8856
32829683,14.8856
32829684,14.8856
32829685,14.8856
32829686,14.8856
32829687,14.8856
32829688,14.8856
32829689,14.8856
32829690,14.8856
32829691,14.8856
32829692,14.8856
32829693,14.8856
32829694,14.8856
32829695,14.8856
32829696,14.8856
32829697,14.8856
32829698,14.8856
32829699,14.8856
32829700,14.8856
32829701,14.8856
32829702,14.8856
32829703,14.8856
32829704,14.8856
32829705,14.8856
32829706,14.8856
32829707,14.8856
32829708,14.8856
32829709,14.8856
32829710,14.8856
32829711,2.8596
32829712,14.8856
32829713,14.8856
32829714,14.1327
32829715,14.8856
32829716,14.8856
32829717,12.0363
32829718,2.8596
32829719,14.1327
32829720,14.8856
32829721,2.8596
32829722,14.1327
32829723,3.1165
32829724,14.7594
32829725,14.7594
32829726,14.7594
32829727,14.7594
32829728,14.7594
32829729,11.2503
32829730,14.7594
32829731,11.2503
